 ABUNDANCE CHANGE  3 -10.99  4 -10.66  5  -9.34  6  -3.61  7  -4.21  8  -3.35
 ABUNDANCE CHANGE  9  -7.48 10  -4.11 11  -5.80 12  -4.44 13  -5.59 14  -4.53
 ABUNDANCE CHANGE 15  -6.63 16  -4.92 17  -6.54 18  -5.64 19  -7.01 20  -5.70
 ABUNDANCE CHANGE 21  -8.89 22  -7.09 23  -8.11 24  -6.40 25  -6.61 26  -4.54
 ABUNDANCE CHANGE 27  -7.05 28  -5.82 29  -7.85 30  -7.48 31  -9.00 32  -8.39
 ABUNDANCE CHANGE 33  -9.74 34  -8.70 35  -9.50 36  -8.79 37  -9.52 38  -9.17
 ABUNDANCE CHANGE 39  -9.83 40  -9.46 41 -10.58 42 -10.16 43 -20.00 44 -10.29
 ABUNDANCE CHANGE 45 -11.13 46 -10.47 47 -11.10 48 -10.33 49 -11.24 50 -10.00
 ABUNDANCE CHANGE 51 -11.03 52  -9.86 53 -10.49 54  -9.80 55 -10.96 56  -9.86
 ABUNDANCE CHANGE 57 -10.94 58 -10.46 59 -11.32 60 -10.62 61 -20.00 62 -11.08
 ABUNDANCE CHANGE 63 -11.52 64 -10.97 65 -11.74 66 -10.94 67 -11.56 68 -11.12
 ABUNDANCE CHANGE 69 -11.94 70 -11.20 71 -11.94 72 -11.19 73 -12.16 74 -11.19
 ABUNDANCE CHANGE 75 -11.78 76 -10.64 77 -10.66 78 -10.42 79 -11.12 80 -10.87
 ABUNDANCE CHANGE 81 -11.14 82 -10.29 83 -11.39 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -12.02 91 -20.00 92 -12.58
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
 ABUNDANCE TABLE
    1H   0.920680       2He  0.078360
 1.64177407E-03   3797.5 4.498E+01 7.241E+09 5.021E-04 8.070E-02 1.000E+05 0.000E+00 0.000E+00
 1.99097464E-03   3819.1 5.455E+01 8.689E+09 5.717E-04 8.176E-02 1.000E+05 0.000E+00 0.000E+00
 2.39994250E-03   3841.8 6.575E+01 1.038E+10 6.510E-04 8.221E-02 1.000E+05 0.000E+00 0.000E+00
 2.87886107E-03   3865.3 7.887E+01 1.234E+10 7.413E-04 8.221E-02 1.000E+05 0.000E+00 0.000E+00
 3.43968450E-03   3889.4 9.424E+01 1.463E+10 8.443E-04 8.191E-02 1.000E+05 0.000E+00 0.000E+00
 4.09624864E-03   3914.0 1.122E+02 1.730E+10 9.618E-04 8.137E-02 1.000E+05 0.000E+00 0.000E+00
 4.86475075E-03   3939.1 1.333E+02 2.040E+10 1.096E-03 8.062E-02 1.000E+05 0.000E+00 0.000E+00
 5.76409506E-03   3964.2 1.579E+02 2.401E+10 1.249E-03 7.995E-02 1.000E+05 0.000E+00 0.000E+00
 6.81642616E-03   3989.5 1.867E+02 2.820E+10 1.423E-03 7.926E-02 1.000E+05 0.000E+00 0.000E+00
 8.04743947E-03   4015.0 2.205E+02 3.308E+10 1.623E-03 7.867E-02 1.000E+05 0.000E+00 0.000E+00
 9.48728494E-03   4040.7 2.599E+02 3.875E+10 1.850E-03 7.816E-02 1.000E+05 0.000E+00 0.000E+00
 1.11710612E-02   4066.4 3.061E+02 4.533E+10 2.110E-03 7.785E-02 1.000E+05 0.000E+00 0.000E+00
 1.31398299E-02   4092.4 3.600E+02 5.298E+10 2.407E-03 7.772E-02 1.000E+05 0.000E+00 0.000E+00
 1.54413683E-02   4118.6 4.230E+02 6.186E+10 2.746E-03 7.771E-02 1.000E+05 0.000E+00 0.000E+00
 1.81316141E-02   4145.1 4.967E+02 7.219E+10 3.133E-03 7.786E-02 1.000E+05 0.000E+00 0.000E+00
 2.12756031E-02   4171.9 5.829E+02 8.419E+10 3.575E-03 7.823E-02 1.000E+05 0.000E+00 0.000E+00
 2.49496259E-02   4199.3 6.835E+02 9.813E+10 4.080E-03 7.872E-02 1.000E+05 0.000E+00 0.000E+00
 2.92420988E-02   4226.9 8.011E+02 1.143E+11 4.657E-03 7.932E-02 1.000E+05 0.000E+00 0.000E+00
 3.42566788E-02   4255.1 9.385E+02 1.332E+11 5.316E-03 8.009E-02 1.000E+05 0.000E+00 0.000E+00
 4.01139728E-02   4283.6 1.099E+03 1.550E+11 6.069E-03 8.107E-02 1.000E+05 0.000E+00 0.000E+00
 4.69554192E-02   4312.6 1.286E+03 1.805E+11 6.930E-03 8.219E-02 1.000E+05 0.000E+00 0.000E+00
 5.49455231E-02   4341.8 1.505E+03 2.100E+11 7.912E-03 8.359E-02 1.000E+05 0.000E+00 0.000E+00
 6.42770624E-02   4371.4 1.761E+03 2.443E+11 9.035E-03 8.521E-02 1.000E+05 0.000E+00 0.000E+00
 7.51738645E-02   4401.2 2.060E+03 2.841E+11 1.032E-02 8.712E-02 1.000E+05 0.000E+00 0.000E+00
 8.78987694E-02   4431.2 2.408E+03 3.303E+11 1.178E-02 8.938E-02 1.000E+05 0.000E+00 0.000E+00
 1.02757282E-01   4461.2 2.815E+03 3.839E+11 1.346E-02 9.204E-02 1.000E+05 0.000E+00 0.000E+00
 1.20107438E-01   4491.3 3.291E+03 4.460E+11 1.537E-02 9.524E-02 1.000E+05 0.000E+00 0.000E+00
 1.40365551E-01   4521.3 3.846E+03 5.181E+11 1.755E-02 9.899E-02 1.000E+05 0.000E+00 0.000E+00
 1.64019432E-01   4551.3 4.494E+03 6.016E+11 2.005E-02 1.034E-01 1.000E+05 0.000E+00 0.000E+00
 1.91636291E-01   4581.1 5.250E+03 6.984E+11 2.289E-02 1.087E-01 1.000E+05 0.000E+00 0.000E+00
 2.23881069E-01   4610.9 6.134E+03 8.106E+11 2.615E-02 1.148E-01 1.000E+05 0.000E+00 0.000E+00
 2.61526811E-01   4640.7 7.165E+03 9.405E+11 2.987E-02 1.219E-01 1.000E+05 0.000E+00 0.000E+00
 3.05478345E-01   4670.7 8.369E+03 1.091E+12 3.412E-02 1.302E-01 1.000E+05 0.000E+00 0.000E+00
 3.56787683E-01   4701.1 9.775E+03 1.266E+12 3.897E-02 1.398E-01 1.000E+05 0.000E+00 0.000E+00
 4.16684763E-01   4732.2 1.142E+04 1.469E+12 4.452E-02 1.509E-01 1.000E+05 0.000E+00 0.000E+00
 4.86598592E-01   4764.3 1.333E+04 1.705E+12 5.087E-02 1.637E-01 1.000E+05 0.000E+00 0.000E+00
 5.68196578E-01   4798.0 1.557E+04 1.980E+12 5.812E-02 1.785E-01 1.000E+05 0.000E+00 0.000E+00
 6.63411263E-01   4834.1 1.818E+04 2.303E+12 6.643E-02 1.955E-01 1.000E+05 0.000E+00 0.000E+00
 7.74490628E-01   4873.2 2.122E+04 2.681E+12 7.595E-02 2.150E-01 1.000E+05 0.000E+00 0.000E+00
 9.04029671E-01   4916.7 2.477E+04 3.129E+12 8.686E-02 2.374E-01 1.000E+05 0.000E+00 0.000E+00
 1.05502163E+00   4965.8 2.890E+04 3.662E+12 9.941E-02 2.630E-01 1.000E+05 0.000E+00 0.000E+00
 1.23087650E+00   5022.1 3.372E+04 4.303E+12 1.139E-01 2.923E-01 1.000E+05 0.000E+00 0.000E+00
 1.43543406E+00   5087.2 3.933E+04 5.084E+12 1.306E-01 3.259E-01 1.000E+05 0.000E+00 0.000E+00
 1.67294699E+00   5163.4 4.583E+04 6.051E+12 1.503E-01 3.650E-01 1.000E+05 0.000E+00 0.000E+00
 1.94761056E+00   5252.7 5.336E+04 7.282E+12 1.738E-01 4.117E-01 1.000E+05 0.000E+00 0.000E+00
 2.26288092E+00   5357.8 6.200E+04 8.910E+12 2.030E-01 4.697E-01 1.000E+05 0.000E+00 0.000E+00
 2.61980817E+00   5481.6 7.177E+04 1.119E+13 2.414E-01 5.469E-01 1.000E+05 0.000E+00 0.000E+00
 3.01426673E+00   5627.2 8.258E+04 1.461E+13 2.961E-01 6.583E-01 1.000E+05 0.000E+00 0.000E+00
 3.43410590E+00   5798.8 9.408E+04 2.014E+13 3.796E-01 8.309E-01 1.000E+05 0.000E+00 0.000E+00
 3.85926290E+00   5999.8 1.057E+05 2.962E+13 5.140E-01 1.112E+00 1.000E+05 1.325E+04 0.000E+00
 4.26469917E+00   6239.2 1.168E+05 4.694E+13 7.424E-01 1.592E+00 1.000E+05 1.649E+06 6.548E+03
 4.62817350E+00   6518.9 1.268E+05 7.927E+13 1.136E+00 2.415E+00 1.000E+05 2.770E+07 3.188E+04
 4.93546144E+00   6847.6 1.352E+05 1.417E+14 1.843E+00 3.834E+00 1.000E+05 1.288E+08 7.733E+04
 5.18208044E+00   7220.0 1.420E+05 2.596E+14 3.107E+00 6.018E+00 1.000E+05 4.706E+08 1.117E+05
 5.37941823E+00   7582.7 1.474E+05 4.454E+14 5.056E+00 8.136E+00 1.000E+05 1.213E+09 1.686E+05
 5.54916848E+00   7884.4 1.520E+05 6.753E+14 7.485E+00 8.936E+00 1.000E+05 2.168E+09 2.040E+05
 5.70758774E+00   8140.7 1.564E+05 9.416E+14 1.036E+01 8.770E+00 1.000E+05 2.984E+09 2.215E+05
 5.86408220E+00   8364.8 1.606E+05 1.241E+15 1.369E+01 8.286E+00 1.000E+05 3.566E+09 2.272E+05
 6.02426377E+00   8570.7 1.650E+05 1.582E+15 1.761E+01 7.768E+00 1.000E+05 3.967E+09 2.310E+05
 6.19260683E+00   8759.6 1.696E+05 1.960E+15 2.209E+01 7.278E+00 1.000E+05 4.236E+09 2.285E+05
 6.37271073E+00   8941.5 1.746E+05 2.392E+15 2.737E+01 6.909E+00 1.000E+05 4.424E+09 2.284E+05
 6.56774559E+00   9116.2 1.799E+05 2.880E+15 3.351E+01 6.500E+00 1.000E+05 4.562E+09 2.233E+05
 6.78117838E+00   9286.8 1.858E+05 3.433E+15 4.068E+01 6.186E+00 1.000E+05 4.665E+09 2.225E+05
 7.01596843E+00   9457.9 1.922E+05 4.074E+15 4.920E+01 5.815E+00 1.000E+05 4.739E+09 2.162E+05
 7.27651252E+00   9621.8 1.993E+05 4.782E+15 5.881E+01 5.523E+00 1.000E+05 4.808E+09 2.152E+05
 7.56609294E+00   9796.2 2.073E+05 5.638E+15 7.072E+01 5.219E+00 1.000E+05 4.840E+09 2.091E+05
 7.89058380E+00   9956.0 2.162E+05 6.546E+15 8.343E+01 5.180E+00 1.000E+05 4.888E+09 2.063E+05
PRADK 1.4873E+00
BEGIN                    ITERATION  45 COMPLETED
