 ABUNDANCE CHANGE  3 -11.51  4 -11.18  5  -9.86  6  -3.70  7  -4.78  8  -3.37
 ABUNDANCE CHANGE  9  -8.00 10  -4.72 11  -6.21 12  -4.59 13  -5.77 14  -4.72
 ABUNDANCE CHANGE 15  -7.20 16  -5.42 17  -7.06 18  -6.38 19  -7.33 20  -6.11
 ABUNDANCE CHANGE 21  -9.26 22  -7.34 23  -8.43 24  -6.97 25  -7.34 26  -5.06
 ABUNDANCE CHANGE 27  -7.48 28  -6.28 29  -8.35 30  -7.78 31  -9.68 32  -8.98
 ABUNDANCE CHANGE 33 -10.27 34  -9.23 35 -10.00 36  -9.28 37  -9.96 38  -9.64
 ABUNDANCE CHANGE 39 -10.35 40  -9.97 41 -11.14 42 -10.64 43 -20.52 44 -10.72
 ABUNDANCE CHANGE 45 -11.44 46 -10.87 47 -11.62 48 -10.79 49 -10.96 50 -10.56
 ABUNDANCE CHANGE 51 -11.56 52 -10.37 53 -11.05 54 -10.29 55 -11.49 56 -10.39
 ABUNDANCE CHANGE 57 -11.43 58 -10.98 59 -11.85 60 -11.11 61 -20.52 62 -11.55
 ABUNDANCE CHANGE 63 -12.04 64 -11.44 65 -12.28 66 -11.42 67 -12.05 68 -11.63
 ABUNDANCE CHANGE 69 -12.56 70 -11.48 71 -12.50 72 -11.68 73 -12.73 74 -11.45
 ABUNDANCE CHANGE 75 -12.33 76 -11.11 77 -11.18 78 -10.92 79 -11.55 80 -11.43
 ABUNDANCE CHANGE 81 -11.66 82 -10.56 83 -11.91 84 -20.52 85 -20.52 86 -20.52
 ABUNDANCE CHANGE 87 -20.52 88 -20.52 89 -20.52 90 -12.50 91 -20.52 92 -13.03
 ABUNDANCE CHANGE 93 -20.52 94 -20.52 95 -20.52 96 -20.52 97 -20.52 98 -20.52
 ABUNDANCE CHANGE 99 -20.52
 ABUNDANCE TABLE
    1H   0.911000       2He  0.089000
 3.83573979E-02   2522.7 1.753E+00 1.924E+07 1.674E-05 2.418E-03 1.740E+05 0.000E+00 0.000E+00
 4.92446656E-02   2550.2 2.251E+00 2.525E+07 1.770E-05 2.200E-03 1.740E+05 0.000E+00 0.000E+00
 6.29485323E-02   2578.0 2.877E+00 3.307E+07 1.879E-05 2.011E-03 1.740E+05 0.000E+00 0.000E+00
 8.01273835E-02   2606.2 3.662E+00 4.321E+07 2.003E-05 1.845E-03 1.740E+05 0.000E+00 0.000E+00
 1.01562456E-01   2634.6 4.642E+00 5.633E+07 2.146E-05 1.702E-03 1.740E+05 0.000E+00 0.000E+00
 1.28170361E-01   2663.4 5.858E+00 7.328E+07 2.311E-05 1.577E-03 1.740E+05 0.000E+00 0.000E+00
 1.61020489E-01   2692.7 7.360E+00 9.513E+07 2.503E-05 1.469E-03 1.740E+05 0.000E+00 0.000E+00
 2.01347331E-01   2722.5 9.203E+00 1.233E+08 2.726E-05 1.374E-03 1.740E+05 0.000E+00 0.000E+00
 2.50554841E-01   2752.9 1.145E+01 1.594E+08 2.989E-05 1.291E-03 1.740E+05 0.000E+00 0.000E+00
 3.10212757E-01   2783.8 1.418E+01 2.056E+08 3.298E-05 1.220E-03 1.740E+05 0.000E+00 0.000E+00
 3.82041700E-01   2815.3 1.746E+01 2.647E+08 3.666E-05 1.159E-03 1.740E+05 0.000E+00 0.000E+00
 4.67895367E-01   2847.2 2.139E+01 3.397E+08 4.104E-05 1.108E-03 1.740E+05 0.000E+00 0.000E+00
 5.69755486E-01   2879.7 2.604E+01 4.345E+08 4.630E-05 1.067E-03 1.740E+05 0.000E+00 0.000E+00
 6.89689898E-01   2912.5 3.152E+01 5.536E+08 5.263E-05 1.035E-03 1.740E+05 0.000E+00 0.000E+00
 8.29849527E-01   2945.7 3.793E+01 7.026E+08 6.027E-05 1.010E-03 1.740E+05 0.000E+00 0.000E+00
