 5.51741875E+00   3364.7 1.745E+02 7.851E+09 3.660E-04 9.784E-04 9.781E+04 0.000E+00 0.000E+00
 6.36289357E+00   3390.6 2.012E+02 9.230E+09 4.228E-04 1.020E-03 9.781E+04 0.000E+00 0.000E+00
 7.33982616E+00   3415.9 2.321E+02 1.082E+10 4.876E-04 1.069E-03 9.783E+04 0.000E+00 0.000E+00
 8.47038811E+00   3440.3 2.678E+02 1.265E+10 5.615E-04 1.126E-03 9.815E+04 0.000E+00 0.000E+00
 9.78056991E+00   3464.0 3.093E+02 1.475E+10 6.457E-04 1.194E-03 9.915E+04 0.000E+00 0.000E+00
 1.13002511E+01   3487.3 3.573E+02 1.718E+10 7.422E-04 1.275E-03 1.005E+05 0.000E+00 0.000E+00
 1.30635450E+01   3510.3 4.131E+02 1.999E+10 8.529E-04 1.369E-03 1.019E+05 0.000E+00 0.000E+00
 1.51092056E+01   3533.5 4.778E+02 2.326E+10 9.807E-04 1.479E-03 1.035E+05 0.000E+00 0.000E+00
 1.74802805E+01   3557.1 5.528E+02 2.707E+10 1.129E-03 1.608E-03 1.057E+05 0.000E+00 0.000E+00
 2.02250040E+01   3581.5 6.395E+02 3.155E+10 1.302E-03 1.756E-03 1.086E+05 0.000E+00 0.000E+00
 2.33943581E+01   3607.6 7.398E+02 3.685E+10 1.506E-03 1.936E-03 1.131E+05 0.000E+00 0.000E+00
 2.70396307E+01   3636.2 8.550E+02 4.321E+10 1.750E-03 2.150E-03 1.192E+05 0.000E+00 0.000E+00
 3.12118993E+01   3668.1 9.869E+02 5.091E+10 2.045E-03 2.404E-03 1.280E+05 0.000E+00 0.000E+00
 3.59586219E+01   3704.3 1.137E+03 6.031E+10 2.404E-03 2.707E-03 1.397E+05 0.000E+00 0.000E+00
 4.13259372E+01   3746.3 1.307E+03 7.194E+10 2.845E-03 3.066E-03 1.531E+05 0.000E+00 0.000E+00
 4.73527055E+01   3795.2 1.497E+03 8.643E+10 3.388E-03 3.488E-03 1.676E+05 0.000E+00 0.000E+00
 5.40824939E+01   3852.3 1.710E+03 1.045E+11 4.055E-03 3.979E-03 1.825E+05 0.000E+00 0.000E+00
 6.15683866E+01   3918.5 1.947E+03 1.271E+11 4.866E-03 4.543E-03 1.974E+05 0.000E+00 0.000E+00
